time,posX,velX,accelX,posY,velY,accelY,posZ,velZ,accelZ,someValue
1.98000000,863.69038280,-78.05839702,0,-61.07266337,2.62424374,0,438.60000000,70.00000000,0,0
1.99000000,862.90986186,-78.04551679,0,-61.04462792,2.98283570,0,439.30000000,70.00000000,0,0
2.00000000,862.12947796,-78.03098924,0,-61.01300686,3.34136471,0,440.00000000,70.00000000,0,0
2.01000000,861.34924757,-78.01481467,0,-60.97780086,3.69982319,0,440.70000000,70.00000000,0,0
2.02000000,860.56918715,-77.99699343,0,-60.93901066,4.05820358,0,441.40000000,70.00000000,0,0
2.03000000,859.78931319,-77.97752588,0,-60.89663708,4.41649831,0,442.10000000,70.00000000,0,0
2.04000000,859.00964212,-77.95641245,0,-60.85068101,4.77469982,0,442.80000000,70.00000000,0,0
2.05000000,858.23019042,-77.93365357,0,-60.80114342,5.13280055,0,443.50000000,70.00000000,0,0
2.06000000,857.45097453,-77.90924973,0,-60.74802536,5.49079294,0,444.20000000,70.00000000,0,0
2.07000000,856.67201091,-77.88320144,0,-60.69132794,5.84866943,0,444.90000000,70.00000000,0,0
2.08000000,855.89331599,-77.85550925,0,-60.63105238,6.20642248,0,445.60000000,70.00000000,0,0
2.09000000,855.11490620,-77.82617374,0,-60.56719993,6.56404452,0,446.30000000,70.00000000,0,0
2.10000000,854.33679799,-77.79519555,0,-60.49977195,6.92152802,0,447.00000000,70.00000000,0,0
2.11000000,853.55900776,-77.76257531,0,-60.42876986,7.27886542,0,447.70000000,70.00000000,0,0
2.12000000,852.78155195,-77.72831371,0,-60.35419515,7.63604919,0,448.40000000,70.00000000,0,0
2.13000000,852.00444696,-77.69241149,0,-60.27604941,7.99307178,0,449.10000000,70.00000000,0,0
2.14000000,851.22770919,-77.65486940,0,-60.19433428,8.34992565,0,449.80000000,70.00000000,0,0
2.15000000,850.45135503,-77.61568823,0,-60.10905149,8.70660329,0,450.50000000,70.00000000,0,0
2.16000000,849.67540088,-77.57486880,0,-60.02020283,9.06309715,0,451.20000000,70.00000000,0,0
2.17000000,848.89986312,-77.53241199,0,-59.92779018,9.41939971,0,451.90000000,70.00000000,0,0
2.18000000,848.12475810,-77.48831868,0,-59.83181550,9.77550346,0,452.60000000,70.00000000,0,0
2.19000000,847.35010219,-77.44258981,0,-59.73228080,10.13140087,0,453.30000000,70.00000000,0,0
2.20000000,846.57591175,-77.39522634,0,-59.62918819,10.48708444,0,454.00000000,70.00000000,0,0
2.21000000,845.80220311,-77.34622927,0,-59.52253985,10.84254666,0,454.70000000,70.00000000,0,0
2.22000000,845.02899261,-77.29559963,0,-59.41233802,11.19778002,0,455.40000000,70.00000000,0,0
2.23000000,844.25629656,-77.24333850,0,-59.29858504,11.55277702,0,456.10000000,70.00000000,0,0
2.24000000,843.48413127,-77.18944698,0,-59.18128329,11.90753018,0,456.80000000,70.00000000,0,0
2.25000000,842.71251305,-77.13392620,0,-59.06043527,12.26203200,0,457.50000000,70.00000000,0,0
2.26000000,841.94145818,-77.07677734,0,-58.93604352,12.61627500,0,458.20000000,70.00000000,0,0
2.27000000,841.17098293,-77.01800160,0,-58.80811066,12.97025171,0,458.90000000,70.00000000,0,0
2.28000000,840.40110356,-76.95760022,0,-58.67663939,13.32395466,0,459.60000000,70.00000000,0,0
2.29000000,839.63183634,-76.89557449,0,-58.54163250,13.67737637,0,460.30000000,70.00000000,0,0
2.30000000,838.86319748,-76.83192570,0,-58.40309283,14.03050939,0,461.00000000,70.00000000,0,0
2.31000000,838.09520323,-76.76665520,0,-58.26102330,14.38334627,0,461.70000000,70.00000000,0,0
2.32000000,837.32786978,-76.69976437,0,-58.11542692,14.73587955,0,462.40000000,70.00000000,0,0
2.33000000,836.56121334,-76.63125462,0,-57.96630675,15.08810180,0,463.10000000,70.00000000,0,0
2.34000000,835.79525008,-76.56112739,0,-57.81366594,15.44000558,0,463.80000000,70.00000000,0,0
2.35000000,835.02999618,-76.48938418,0,-57.65750772,15.79158346,0,464.50000000,70.00000000,0,0
2.36000000,834.26546778,-76.41602648,0,-57.49783538,16.14282803,0,465.20000000,70.00000000,0,0
2.37000000,833.50168102,-76.34105585,0,-57.33465230,16.49373187,0,465.90000000,70.00000000,0,0
2.38000000,832.73865203,-76.26447388,0,-57.16796191,16.84428757,0,466.60000000,70.00000000,0,0
2.39000000,831.97639691,-76.18628217,0,-56.99776773,17.19448774,0,467.30000000,70.00000000,0,0
2.40000000,831.21493175,-76.10648239,0,-56.82407336,17.54432498,0,468.00000000,70.00000000,0,0
2.41000000,830.45427262,-76.02507620,0,-56.64688247,17.89379190,0,468.70000000,70.00000000,0,0
2.42000000,829.69443557,-75.94206534,0,-56.46619878,18.24288114,0,469.40000000,70.00000000,0,0
2.43000000,828.93543665,-75.85745155,0,-56.28202613,18.59158532,0,470.10000000,70.00000000,0,0
2.44000000,828.17729188,-75.77123662,0,-56.09436838,18.93989708,0,470.80000000,70.00000000,0,0
2.45000000,827.42001725,-75.68342237,0,-55.90322952,19.28780908,0,471.50000000,70.00000000,0,0
2.46000000,826.66362876,-75.59401065,0,-55.70861356,19.63531396,0,472.20000000,70.00000000,0,0
2.47000000,825.90814236,-75.50300335,0,-55.51052462,19.98240440,0,472.90000000,70.00000000,0,0
2.48000000,825.15357400,-75.41040239,0,-55.30896688,20.32907306,0,473.60000000,70.00000000,0,0
2.49000000,824.39993962,-75.31620973,0,-55.10394459,20.67531263,0,474.30000000,70.00000000,0,0
2.50000000,823.64725511,-75.22042735,0,-54.89546208,21.02111580,0,475.00000000,70.00000000,0,0
2.51000000,822.89553636,-75.12305727,0,-54.68352375,21.36647528,0,475.70000000,70.00000000,0,0
2.52000000,822.14479925,-75.02410156,0,-54.46813408,21.71138377,0,476.40000000,70.00000000,0,0
2.53000000,821.39505961,-74.92356230,0,-54.24929760,22.05583399,0,477.10000000,70.00000000,0,0
2.54000000,820.64633327,-74.82144160,0,-54.02701895,22.39981867,0,477.80000000,70.00000000,0,0
2.55000000,819.89863604,-74.71774164,0,-53.80130281,22.74333056,0,478.50000000,70.00000000,0,0
2.56000000,819.15198370,-74.61246458,0,-53.57215394,23.08636240,0,479.20000000,70.00000000,0,0
2.57000000,818.40639200,-74.50561267,0,-53.33957718,23.42890694,0,479.90000000,70.00000000,0,0
2.58000000,817.66187669,-74.39718815,0,-53.10357745,23.77095697,0,480.60000000,70.00000000,0,0
2.59000000,816.91845347,-74.28719331,0,-52.86415972,24.11250526,0,481.30000000,70.00000000,0,0
2.60000000,816.17613805,-74.17563047,0,-52.62132904,24.45354460,0,482.00000000,70.00000000,0,0
